question,option_a,option_b,option_c,option_d,correct
Топинг: Қарасангиз ўзингизни кўрасиз. Жавоб қайси?,Сув,Ойна,Расм,Кўзгу,D
Қуйидаги саволга жавоб беринг: Қарасангиз ўзингизни кўрасиз. Қайси жавоб тўғри?,Ойна,Кўзгу,Сув,Расм,B
Ўйлаб кўринг: Қарасангиз ўзингизни кўрасиз. Бу нима?,Кўзгу,Ойна,Сув,Расм,A
Тезкор савол: Қарасангиз ўзингизни кўрасиз. Нима деб ўйлайсиз?,Ойна,Сув,Кўзгу,Расм,C
Оддий савол: Қарасангиз ўзингизни кўрасиз. Тўғри жавобни топинг.,Расм,Ойна,Кўзгу,Сув,C
Эътибор билан ўқинг: Қарасангиз ўзингизни кўрасиз. Жавоб қайси?,Кўзгу,Сув,Расм,Ойна,A
Савол: Қарасангиз ўзингизни кўрасиз. Қайси жавоб тўғри?,Кўзгу,Ойна,Сув,Расм,A
"Икки оғзи бор, лекин гапирмайди. Бу нима?",Қайчи,Тарақ,Пичоқ,Игна,A
"Жумбоқ: Икки оғзи бор, лекин гапирмайди. Нима деб ўйлайсиз?",Қайчи,Тарақ,Игна,Пичоқ,A
"Мантиқли савол: Икки оғзи бор, лекин гапирмайди. Тўғри жавобни топинг.",Қайчи,Игна,Тарақ,Пичоқ,A
"Топинг: Икки оғзи бор, лекин гапирмайди. Жавоб қайси?",Игна,Пичоқ,Қайчи,Тарақ,C
"Қуйидаги саволга жавоб беринг: Икки оғзи бор, лекин гапирмайди. Қайси жавоб тўғри?",Тарақ,Игна,Қайчи,Пичоқ,C
"Ўйлаб кўринг: Икки оғзи бор, лекин гапирмайди. Бу нима?",Пичоқ,Игна,Қайчи,Тарақ,C
"Тезкор савол: Икки оғзи бор, лекин гапирмайди. Нима деб ўйлайсиз?",Қайчи,Тарақ,Игна,Пичоқ,A
"Оддий савол: Икки оғзи бор, лекин гапирмайди. Тўғри жавобни топинг.",Пичоқ,Тарақ,Игна,Қайчи,D
"Эътибор билан ўқинг: Икки оғзи бор, лекин гапирмайди. Жавоб қайси?",Пичоқ,Қайчи,Игна,Тарақ,B
"Савол: Икки оғзи бор, лекин гапирмайди. Қайси жавоб тўғри?",Тарақ,Игна,Қайчи,Пичоқ,C
"Боши бор, лекин мияси йўқ. Бу нима?",Саримсоқ,Сабзи,Пиёз,Карам,C
"Жумбоқ: Боши бор, лекин мияси йўқ. Нима деб ўйлайсиз?",Саримсоқ,Пиёз,Сабзи,Карам,B
"Мантиқли савол: Боши бор, лекин мияси йўқ. Тўғри жавобни топинг.",Саримсоқ,Карам,Пиёз,Сабзи,C
"Топинг: Боши бор, лекин мияси йўқ. Жавоб қайси?",Пиёз,Сабзи,Саримсоқ,Карам,A
"Қуйидаги саволга жавоб беринг: Боши бор, лекин мияси йўқ. Қайси жавоб тўғри?",Карам,Пиёз,Саримсоқ,Сабзи,B
"Ўйлаб кўринг: Боши бор, лекин мияси йўқ. Бу нима?",Сабзи,Карам,Саримсоқ,Пиёз,D
"Тезкор савол: Боши бор, лекин мияси йўқ. Нима деб ўйлайсиз?",Карам,Саримсоқ,Сабзи,Пиёз,D
"Оддий савол: Боши бор, лекин мияси йўқ. Тўғри жавобни топинг.",Саримсоқ,Карам,Пиёз,Сабзи,C
"Эътибор билан ўқинг: Боши бор, лекин мияси йўқ. Жавоб қайси?",Карам,Сабзи,Пиёз,Саримсоқ,C
"Савол: Боши бор, лекин мияси йўқ. Қайси жавоб тўғри?",Саримсоқ,Карам,Сабзи,Пиёз,D
"Қанча кўп олсангиз, у шунча катталашади. Бу нима?",Қоп,Тешик,Қудуқ,Эшик,B
"Жумбоқ: Қанча кўп олсангиз, у шунча катталашади. Нима деб ўйлайсиз?",Тешик,Қудуқ,Қоп,Эшик,A
"Мантиқли савол: Қанча кўп олсангиз, у шунча катталашади. Тўғри жавобни топинг.",Тешик,Қоп,Эшик,Қудуқ,A
"Топинг: Қанча кўп олсангиз, у шунча катталашади. Жавоб қайси?",Қоп,Тешик,Эшик,Қудуқ,B
"Қуйидаги саволга жавоб беринг: Қанча кўп олсангиз, у шунча катталашади. Қайси жавоб тўғри?",Қоп,Қудуқ,Эшик,Тешик,D
"Ўйлаб кўринг: Қанча кўп олсангиз, у шунча катталашади. Бу нима?",Қоп,Тешик,Эшик,Қудуқ,B
"Тезкор савол: Қанча кўп олсангиз, у шунча катталашади. Нима деб ўйлайсиз?",Эшик,Қудуқ,Тешик,Қоп,C
"Оддий савол: Қанча кўп олсангиз, у шунча катталашади. Тўғри жавобни топинг.",Қоп,Қудуқ,Эшик,Тешик,D
"Эътибор билан ўқинг: Қанча кўп олсангиз, у шунча катталашади. Жавоб қайси?",Тешик,Қудуқ,Қоп,Эшик,A
"Савол: Қанча кўп олсангиз, у шунча катталашади. Қайси жавоб тўғри?",Қоп,Эшик,Тешик,Қудуқ,C
"Осмондан тушади, ерни ҳўллайди. Бу нима?",Ёмғир,Қор,Шамол,Туман,A
"Жумбоқ: Осмондан тушади, ерни ҳўллайди. Нима деб ўйлайсиз?",Қор,Туман,Ёмғир,Шамол,C
"Мантиқли савол: Осмондан тушади, ерни ҳўллайди. Тўғри жавобни топинг.",Қор,Ёмғир,Шамол,Туман,B
"Топинг: Осмондан тушади, ерни ҳўллайди. Жавоб қайси?",Қор,Туман,Ёмғир,Шамол,C
"Қуйидаги саволга жавоб беринг: Осмондан тушади, ерни ҳўллайди. Қайси жавоб тўғри?",Туман,Ёмғир,Шамол,Қор,B
"Ўйлаб кўринг: Осмондан тушади, ерни ҳўллайди. Бу нима?",Қор,Туман,Шамол,Ёмғир,D
"Тезкор савол: Осмондан тушади, ерни ҳўллайди. Нима деб ўйлайсиз?",Ёмғир,Қор,Шамол,Туман,A
"Оддий савол: Осмондан тушади, ерни ҳўллайди. Тўғри жавобни топинг.",Туман,Қор,Ёмғир,Шамол,C
"Эътибор билан ўқинг: Осмондан тушади, ерни ҳўллайди. Жавоб қайси?",Ёмғир,Қор,Шамол,Туман,A
"Савол: Осмондан тушади, ерни ҳўллайди. Қайси жавоб тўғри?",Ёмғир,Қор,Шамол,Туман,A
"Кундузи чиқиб, ерни ёритади. Бу нима?",Ой,Шам,Қуёш,Юлдуз,C
"Жумбоқ: Кундузи чиқиб, ерни ёритади. Нима деб ўйлайсиз?",Қуёш,Ой,Шам,Юлдуз,A
"Мантиқли савол: Кундузи чиқиб, ерни ёритади. Тўғри жавобни топинг.",Ой,Юлдуз,Қуёш,Шам,C
"Топинг: Кундузи чиқиб, ерни ёритади. Жавоб қайси?",Юлдуз,Қуёш,Шам,Ой,B
"Қуйидаги саволга жавоб беринг: Кундузи чиқиб, ерни ёритади. Қайси жавоб тўғри?",Ой,Қуёш,Юлдуз,Шам,B
"Ўйлаб кўринг: Кундузи чиқиб, ерни ёритади. Бу нима?",Қуёш,Шам,Юлдуз,Ой,A
"Тезкор савол: Кундузи чиқиб, ерни ёритади. Нима деб ўйлайсиз?",Юлдуз,Ой,Қуёш,Шам,C
"Оддий савол: Кундузи чиқиб, ерни ёритади. Тўғри жавобни топинг.",Шам,Ой,Қуёш,Юлдуз,C
"Эътибор билан ўқинг: Кундузи чиқиб, ерни ёритади. Жавоб қайси?",Қуёш,Юлдуз,Ой,Шам,A
"Савол: Кундузи чиқиб, ерни ёритади. Қайси жавоб тўғри?",Ой,Қуёш,Юлдуз,Шам,B
"Оғзи бор, лекин гапирмайди; киритади ва чиқаради. Бу нима?",Эшик,Қулф,Парда,Дераза,A
"Жумбоқ: Оғзи бор, лекин гапирмайди; киритади ва чиқаради. Нима деб ўйлайсиз?",Эшик,Қулф,Дераза,Парда,A
"Мантиқли савол: Оғзи бор, лекин гапирмайди; киритади ва чиқаради. Тўғри жавобни топинг.",Қулф,Парда,Дераза,Эшик,D
"Топинг: Оғзи бор, лекин гапирмайди; киритади ва чиқаради. Жавоб қайси?",Эшик,Парда,Дераза,Қулф,A
"Қуйидаги саволга жавоб беринг: Оғзи бор, лекин гапирмайди; киритади ва чиқаради. Қайси жавоб тўғри?",Қулф,Парда,Дераза,Эшик,D
"Ўйлаб кўринг: Оғзи бор, лекин гапирмайди; киритади ва чиқаради. Бу нима?",Қулф,Эшик,Дераза,Парда,B
"Тезкор савол: Оғзи бор, лекин гапирмайди; киритади ва чиқаради. Нима деб ўйлайсиз?",Эшик,Парда,Қулф,Дераза,A
"Оддий савол: Оғзи бор, лекин гапирмайди; киритади ва чиқаради. Тўғри жавобни топинг.",Эшик,Дераза,Қулф,Парда,A
"Эътибор билан ўқинг: Оғзи бор, лекин гапирмайди; киритади ва чиқаради. Жавоб қайси?",Қулф,Дераза,Парда,Эшик,D
"Савол: Оғзи бор, лекин гапирмайди; киритади ва чиқаради. Қайси жавоб тўғри?",Эшик,Қулф,Парда,Дераза,A
"Оёғи йўқ, лекин узоққа боради. Бу нима?",Китоб,Дафтар,Хат,Телефон,C
"Жумбоқ: Оёғи йўқ, лекин узоққа боради. Нима деб ўйлайсиз?",Телефон,Хат,Дафтар,Китоб,B
"Мантиқли савол: Оёғи йўқ, лекин узоққа боради. Тўғри жавобни топинг.",Китоб,Хат,Телефон,Дафтар,B
"Топинг: Оёғи йўқ, лекин узоққа боради. Жавоб қайси?",Китоб,Дафтар,Хат,Телефон,C
"Қуйидаги саволга жавоб беринг: Оёғи йўқ, лекин узоққа боради. Қайси жавоб тўғри?",Дафтар,Телефон,Китоб,Хат,D
"Ўйлаб кўринг: Оёғи йўқ, лекин узоққа боради. Бу нима?",Хат,Дафтар,Телефон,Китоб,A
"Тезкор савол: Оёғи йўқ, лекин узоққа боради. Нима деб ўйлайсиз?",Хат,Телефон,Китоб,Дафтар,A
"Оддий савол: Оёғи йўқ, лекин узоққа боради. Тўғри жавобни топинг.",Дафтар,Китоб,Хат,Телефон,C
"Эътибор билан ўқинг: Оёғи йўқ, лекин узоққа боради. Жавоб қайси?",Дафтар,Хат,Телефон,Китоб,B
"Савол: Оёғи йўқ, лекин узоққа боради. Қайси жавоб тўғри?",Дафтар,Телефон,Хат,Китоб,C
"Тумшуғи бор, лекин қуш эмас. Бу нима?",Чойнак,Бутилка,Қозон,Кружка,A
"Жумбоқ: Тумшуғи бор, лекин қуш эмас. Нима деб ўйлайсиз?",Кружка,Бутилка,Қозон,Чойнак,D
"Мантиқли савол: Тумшуғи бор, лекин қуш эмас. Тўғри жавобни топинг.",Бутилка,Қозон,Чойнак,Кружка,C
"Топинг: Тумшуғи бор, лекин қуш эмас. Жавоб қайси?",Чойнак,Бутилка,Қозон,Кружка,A
"Қуйидаги саволга жавоб беринг: Тумшуғи бор, лекин қуш эмас. Қайси жавоб тўғри?",Чойнак,Бутилка,Қозон,Кружка,A
"Ўйлаб кўринг: Тумшуғи бор, лекин қуш эмас. Бу нима?",Кружка,Чойнак,Бутилка,Қозон,B
"Тезкор савол: Тумшуғи бор, лекин қуш эмас. Нима деб ўйлайсиз?",Бутилка,Қозон,Чойнак,Кружка,C
"Оддий савол: Тумшуғи бор, лекин қуш эмас. Тўғри жавобни топинг.",Кружка,Бутилка,Қозон,Чойнак,D
"Эътибор билан ўқинг: Тумшуғи бор, лекин қуш эмас. Жавоб қайси?",Бутилка,Чойнак,Қозон,Кружка,B
"Савол: Тумшуғи бор, лекин қуш эмас. Қайси жавоб тўғри?",Қозон,Бутилка,Чойнак,Кружка,C
"Бўйни бор, боши йўқ. Бу нима?",Лаган,Чойнак,Бутилка,Ваза,C
"Жумбоқ: Бўйни бор, боши йўқ. Нима деб ўйлайсиз?",Лаган,Чойнак,Ваза,Бутилка,D
"Мантиқли савол: Бўйни бор, боши йўқ. Тўғри жавобни топинг.",Чойнак,Лаган,Ваза,Бутилка,D
"Топинг: Бўйни бор, боши йўқ. Жавоб қайси?",Чойнак,Бутилка,Ваза,Лаган,B
"Қуйидаги саволга жавоб беринг: Бўйни бор, боши йўқ. Қайси жавоб тўғри?",Лаган,Ваза,Чойнак,Бутилка,D
"Ўйлаб кўринг: Бўйни бор, боши йўқ. Бу нима?",Бутилка,Чойнак,Лаган,Ваза,A
"Тезкор савол: Бўйни бор, боши йўқ. Нима деб ўйлайсиз?",Лаган,Ваза,Чойнак,Бутилка,D
"Оддий савол: Бўйни бор, боши йўқ. Тўғри жавобни топинг.",Бутилка,Чойнак,Лаган,Ваза,A
"Эътибор билан ўқинг: Бўйни бор, боши йўқ. Жавоб қайси?",Чойнак,Лаган,Ваза,Бутилка,D
"Савол: Бўйни бор, боши йўқ. Қайси жавоб тўғри?",Бутилка,Лаган,Ваза,Чойнак,A
"Югурмайди, аммо қоғоз устида из қолдиради. Бу нима?",Тишчўтка,Қалам,Пичоқ,Игна,B
"Жумбоқ: Югурмайди, аммо қоғоз устида из қолдиради. Нима деб ўйлайсиз?",Игна,Пичоқ,Қалам,Тишчўтка,C
"Мантиқли савол: Югурмайди, аммо қоғоз устида из қолдиради. Тўғри жавобни топинг.",Пичоқ,Игна,Қалам,Тишчўтка,C
"Топинг: Югурмайди, аммо қоғоз устида из қолдиради. Жавоб қайси?",Пичоқ,Игна,Тишчўтка,Қалам,D
"Қуйидаги саволга жавоб беринг: Югурмайди, аммо қоғоз устида из қолдиради. Қайси жавоб тўғри?",Тишчўтка,Пичоқ,Игна,Қалам,D
"Ўйлаб кўринг: Югурмайди, аммо қоғоз устида из қолдиради. Бу нима?",Тишчўтка,Қалам,Игна,Пичоқ,B
"Тезкор савол: Югурмайди, аммо қоғоз устида из қолдиради. Нима деб ўйлайсиз?",Қалам,Тишчўтка,Пичоқ,Игна,A
"Оддий савол: Югурмайди, аммо қоғоз устида из қолдиради. Тўғри жавобни топинг.",Тишчўтка,Пичоқ,Қалам,Игна,C
"Эътибор билан ўқинг: Югурмайди, аммо қоғоз устида из қолдиради. Жавоб қайси?",Тишчўтка,Игна,Пичоқ,Қалам,D
"Савол: Югурмайди, аммо қоғоз устида из қолдиради. Қайси жавоб тўғри?",Пичоқ,Қалам,Тишчўтка,Игна,B
"Варақлари кўп, лекин ёзиш учун. Бу нима?",Дафтар,Газета,Қути,Китоб,A
"Жумбоқ: Варақлари кўп, лекин ёзиш учун. Нима деб ўйлайсиз?",Газета,Дафтар,Китоб,Қути,B
"Мантиқли савол: Варақлари кўп, лекин ёзиш учун. Тўғри жавобни топинг.",Газета,Дафтар,Китоб,Қути,B
"Топинг: Варақлари кўп, лекин ёзиш учун. Жавоб қайси?",Қути,Газета,Китоб,Дафтар,D
"Қуйидаги саволга жавоб беринг: Варақлари кўп, лекин ёзиш учун. Қайси жавоб тўғри?",Дафтар,Китоб,Қути,Газета,A
"Ўйлаб кўринг: Варақлари кўп, лекин ёзиш учун. Бу нима?",Дафтар,Қути,Китоб,Газета,A
"Тезкор савол: Варақлари кўп, лекин ёзиш учун. Нима деб ўйлайсиз?",Дафтар,Газета,Қути,Китоб,A
"Оддий савол: Варақлари кўп, лекин ёзиш учун. Тўғри жавобни топинг.",Газета,Китоб,Қути,Дафтар,D
"Эътибор билан ўқинг: Варақлари кўп, лекин ёзиш учун. Жавоб қайси?",Дафтар,Китоб,Қути,Газета,A
"Савол: Варақлари кўп, лекин ёзиш учун. Қайси жавоб тўғри?",Қути,Китоб,Дафтар,Газета,C
"Оёғи бор, лекин юролмайди. Бу нима?",Стул,Каравот,Стол,Кресло,C
"Жумбоқ: Оёғи бор, лекин юролмайди. Нима деб ўйлайсиз?",Кресло,Стол,Стул,Каравот,B
"Мантиқли савол: Оёғи бор, лекин юролмайди. Тўғри жавобни топинг.",Стул,Каравот,Стол,Кресло,C
"Топинг: Оёғи бор, лекин юролмайди. Жавоб қайси?",Стул,Стол,Каравот,Кресло,B
"Қуйидаги саволга жавоб беринг: Оёғи бор, лекин юролмайди. Қайси жавоб тўғри?",Стул,Каравот,Кресло,Стол,D
"Ўйлаб кўринг: Оёғи бор, лекин юролмайди. Бу нима?",Каравот,Стол,Стул,Кресло,B
"Тезкор савол: Оёғи бор, лекин юролмайди. Нима деб ўйлайсиз?",Стул,Стол,Каравот,Кресло,B
"Оддий савол: Оёғи бор, лекин юролмайди. Тўғри жавобни топинг.",Каравот,Кресло,Стул,Стол,D
"Эътибор билан ўқинг: Оёғи бор, лекин юролмайди. Жавоб қайси?",Стул,Кресло,Стол,Каравот,C
"Савол: Оёғи бор, лекин юролмайди. Қайси жавоб тўғри?",Стол,Каравот,Кресло,Стул,A
"Қўли бор, лекин салом бермайди. Бу нима?",Сандиқ,Стул,Кресло,Стол,C
"Жумбоқ: Қўли бор, лекин салом бермайди. Нима деб ўйлайсиз?",Кресло,Стол,Стул,Сандиқ,A
"Мантиқли савол: Қўли бор, лекин салом бермайди. Тўғри жавобни топинг.",Стол,Сандиқ,Стул,Кресло,D
"Топинг: Қўли бор, лекин салом бермайди. Жавоб қайси?",Стол,Сандиқ,Кресло,Стул,C
"Қуйидаги саволга жавоб беринг: Қўли бор, лекин салом бермайди. Қайси жавоб тўғри?",Сандиқ,Стул,Кресло,Стол,C
"Ўйлаб кўринг: Қўли бор, лекин салом бермайди. Бу нима?",Стол,Сандиқ,Стул,Кресло,D
"Тезкор савол: Қўли бор, лекин салом бермайди. Нима деб ўйлайсиз?",Кресло,Стол,Стул,Сандиқ,A
"Оддий савол: Қўли бор, лекин салом бермайди. Тўғри жавобни топинг.",Кресло,Стул,Стол,Сандиқ,A
"Эътибор билан ўқинг: Қўли бор, лекин салом бермайди. Жавоб қайси?",Стул,Сандиқ,Стол,Кресло,D
"Савол: Қўли бор, лекин салом бермайди. Қайси жавоб тўғри?",Стол,Стул,Кресло,Сандиқ,C
"Оёғи йўқ, лекин юқорига чиқаради. Бу нима?",Эшик,Зина,Арғамчи,Йўл,B
"Жумбоқ: Оёғи йўқ, лекин юқорига чиқаради. Нима деб ўйлайсиз?",Зина,Йўл,Арғамчи,Эшик,A
"Мантиқли савол: Оёғи йўқ, лекин юқорига чиқаради. Тўғри жавобни топинг.",Йўл,Арғамчи,Зина,Эшик,C
"Топинг: Оёғи йўқ, лекин юқорига чиқаради. Жавоб қайси?",Арғамчи,Йўл,Эшик,Зина,D
"Қуйидаги саволга жавоб беринг: Оёғи йўқ, лекин юқорига чиқаради. Қайси жавоб тўғри?",Йўл,Арғамчи,Зина,Эшик,C
"Ўйлаб кўринг: Оёғи йўқ, лекин юқорига чиқаради. Бу нима?",Эшик,Зина,Арғамчи,Йўл,B
"Тезкор савол: Оёғи йўқ, лекин юқорига чиқаради. Нима деб ўйлайсиз?",Зина,Арғамчи,Йўл,Эшик,A
"Оддий савол: Оёғи йўқ, лекин юқорига чиқаради. Тўғри жавобни топинг.",Йўл,Зина,Арғамчи,Эшик,B
"Эътибор билан ўқинг: Оёғи йўқ, лекин юқорига чиқаради. Жавоб қайси?",Йўл,Зина,Арғамчи,Эшик,B
"Савол: Оёғи йўқ, лекин юқорига чиқаради. Қайси жавоб тўғри?",Зина,Йўл,Арғамчи,Эшик,A
"Оёқда юради, лекин жони йўқ. Бу нима?",Шиппак,Қўлқоп,Пойабзал,Шим,C
"Жумбоқ: Оёқда юради, лекин жони йўқ. Нима деб ўйлайсиз?",Пойабзал,Шим,Шиппак,Қўлқоп,A
"Мантиқли савол: Оёқда юради, лекин жони йўқ. Тўғри жавобни топинг.",Шим,Пойабзал,Шиппак,Қўлқоп,B
"Топинг: Оёқда юради, лекин жони йўқ. Жавоб қайси?",Пойабзал,Қўлқоп,Шиппак,Шим,A
"Қуйидаги саволга жавоб беринг: Оёқда юради, лекин жони йўқ. Қайси жавоб тўғри?",Шиппак,Шим,Қўлқоп,Пойабзал,D
"Ўйлаб кўринг: Оёқда юради, лекин жони йўқ. Бу нима?",Шим,Шиппак,Пойабзал,Қўлқоп,C
"Тезкор савол: Оёқда юради, лекин жони йўқ. Нима деб ўйлайсиз?",Қўлқоп,Шиппак,Шим,Пойабзал,D
"Оддий савол: Оёқда юради, лекин жони йўқ. Тўғри жавобни топинг.",Шим,Қўлқоп,Шиппак,Пойабзал,D
"Эътибор билан ўқинг: Оёқда юради, лекин жони йўқ. Жавоб қайси?",Шиппак,Шим,Пойабзал,Қўлқоп,C
"Савол: Оёқда юради, лекин жони йўқ. Қайси жавоб тўғри?",Қўлқоп,Шиппак,Шим,Пойабзал,D
"Сочи кўп, лекин боши йўқ. Бу нима?",Чангютгич,Қалам,Супурги,Латта,C
"Жумбоқ: Сочи кўп, лекин боши йўқ. Нима деб ўйлайсиз?",Қалам,Супурги,Чангютгич,Латта,B
"Мантиқли савол: Сочи кўп, лекин боши йўқ. Тўғри жавобни топинг.",Латта,Қалам,Супурги,Чангютгич,C
"Топинг: Сочи кўп, лекин боши йўқ. Жавоб қайси?",Латта,Қалам,Супурги,Чангютгич,C
"Қуйидаги саволга жавоб беринг: Сочи кўп, лекин боши йўқ. Қайси жавоб тўғри?",Латта,Чангютгич,Қалам,Супурги,D
"Ўйлаб кўринг: Сочи кўп, лекин боши йўқ. Бу нима?",Қалам,Латта,Супурги,Чангютгич,C
"Тезкор савол: Сочи кўп, лекин боши йўқ. Нима деб ўйлайсиз?",Чангютгич,Латта,Қалам,Супурги,D
"Оддий савол: Сочи кўп, лекин боши йўқ. Тўғри жавобни топинг.",Чангютгич,Латта,Қалам,Супурги,D
"Эътибор билан ўқинг: Сочи кўп, лекин боши йўқ. Жавоб қайси?",Латта,Қалам,Чангютгич,Супурги,D
"Савол: Сочи кўп, лекин боши йўқ. Қайси жавоб тўғри?",Супурги,Чангютгич,Латта,Қалам,A
"Қорни катта, лекин тирик эмас. Бу нима?",Чойнак,Тарвуз,Лаган,Қозон,D
"Жумбоқ: Қорни катта, лекин тирик эмас. Нима деб ўйлайсиз?",Тарвуз,Лаган,Чойнак,Қозон,D
"Мантиқли савол: Қорни катта, лекин тирик эмас. Тўғри жавобни топинг.",Лаган,Қозон,Чойнак,Тарвуз,B
"Топинг: Қорни катта, лекин тирик эмас. Жавоб қайси?",Тарвуз,Чойнак,Лаган,Қозон,D
"Қуйидаги саволга жавоб беринг: Қорни катта, лекин тирик эмас. Қайси жавоб тўғри?",Лаган,Қозон,Чойнак,Тарвуз,B
"Ўйлаб кўринг: Қорни катта, лекин тирик эмас. Бу нима?",Қозон,Лаган,Чойнак,Тарвуз,A
"Тезкор савол: Қорни катта, лекин тирик эмас. Нима деб ўйлайсиз?",Чойнак,Лаган,Тарвуз,Қозон,D
"Оддий савол: Қорни катта, лекин тирик эмас. Тўғри жавобни топинг.",Тарвуз,Чойнак,Қозон,Лаган,C
"Эътибор билан ўқинг: Қорни катта, лекин тирик эмас. Жавоб қайси?",Қозон,Лаган,Тарвуз,Чойнак,A
"Савол: Қорни катта, лекин тирик эмас. Қайси жавоб тўғри?",Қозон,Лаган,Чойнак,Тарвуз,A
"Осилади, лекин мева эмас. Бу нима?",Парда,Эшик,Дераза,Гилам,A
"Жумбоқ: Осилади, лекин мева эмас. Нима деб ўйлайсиз?",Эшик,Гилам,Дераза,Парда,D
"Мантиқли савол: Осилади, лекин мева эмас. Тўғри жавобни топинг.",Парда,Дераза,Гилам,Эшик,A
"Топинг: Осилади, лекин мева эмас. Жавоб қайси?",Парда,Дераза,Гилам,Эшик,A
"Қуйидаги саволга жавоб беринг: Осилади, лекин мева эмас. Қайси жавоб тўғри?",Парда,Дераза,Эшик,Гилам,A
"Ўйлаб кўринг: Осилади, лекин мева эмас. Бу нима?",Гилам,Дераза,Эшик,Парда,D
"Тезкор савол: Осилади, лекин мева эмас. Нима деб ўйлайсиз?",Парда,Эшик,Гилам,Дераза,A
"Оддий савол: Осилади, лекин мева эмас. Тўғри жавобни топинг.",Гилам,Эшик,Парда,Дераза,C
"Эътибор билан ўқинг: Осилади, лекин мева эмас. Жавоб қайси?",Эшик,Дераза,Гилам,Парда,D
"Савол: Осилади, лекин мева эмас. Қайси жавоб тўғри?",Дераза,Гилам,Эшик,Парда,D
"Кўринмайди, лекин эшитилади. Бу нима?",Расм,Нур,Мусиқа,Ҳид,C
"Жумбоқ: Кўринмайди, лекин эшитилади. Нима деб ўйлайсиз?",Расм,Мусиқа,Нур,Ҳид,B
"Мантиқли савол: Кўринмайди, лекин эшитилади. Тўғри жавобни топинг.",Мусиқа,Ҳид,Расм,Нур,A
"Топинг: Кўринмайди, лекин эшитилади. Жавоб қайси?",Нур,Ҳид,Расм,Мусиқа,D
"Қуйидаги саволга жавоб беринг: Кўринмайди, лекин эшитилади. Қайси жавоб тўғри?",Расм,Нур,Мусиқа,Ҳид,C
"Ўйлаб кўринг: Кўринмайди, лекин эшитилади. Бу нима?",Мусиқа,Нур,Ҳид,Расм,A
"Тезкор савол: Кўринмайди, лекин эшитилади. Нима деб ўйлайсиз?",Ҳид,Нур,Мусиқа,Расм,C
"Оддий савол: Кўринмайди, лекин эшитилади. Тўғри жавобни топинг.",Нур,Расм,Мусиқа,Ҳид,C
"Эътибор билан ўқинг: Кўринмайди, лекин эшитилади. Жавоб қайси?",Ҳид,Мусиқа,Нур,Расм,B
"Савол: Кўринмайди, лекин эшитилади. Қайси жавоб тўғри?",Расм,Нур,Мусиқа,Ҳид,C
Сиз айтган гапни сизга қайтариб беради. Бу нима?,Акс садо,Шамол,Сукут,Мусиқа,A
Жумбоқ: Сиз айтган гапни сизга қайтариб беради. Нима деб ўйлайсиз?,Сукут,Акс садо,Шамол,Мусиқа,B
Мантиқли савол: Сиз айтган гапни сизга қайтариб беради. Тўғри жавобни топинг.,Мусиқа,Сукут,Акс садо,Шамол,C
Топинг: Сиз айтган гапни сизга қайтариб беради. Жавоб қайси?,Шамол,Мусиқа,Сукут,Акс садо,D
Қуйидаги саволга жавоб беринг: Сиз айтган гапни сизга қайтариб беради. Қайси жавоб тўғри?,Шамол,Сукут,Мусиқа,Акс садо,D
Ўйлаб кўринг: Сиз айтган гапни сизга қайтариб беради. Бу нима?,Акс садо,Мусиқа,Шамол,Сукут,A
Тезкор савол: Сиз айтган гапни сизга қайтариб беради. Нима деб ўйлайсиз?,Сукут,Шамол,Акс садо,Мусиқа,C
Оддий савол: Сиз айтган гапни сизга қайтариб беради. Тўғри жавобни топинг.,Акс садо,Шамол,Сукут,Мусиқа,A
Эътибор билан ўқинг: Сиз айтган гапни сизга қайтариб беради. Жавоб қайси?,Шамол,Мусиқа,Сукут,Акс садо,D
Савол: Сиз айтган гапни сизга қайтариб беради. Қайси жавоб тўғри?,Сукут,Акс садо,Мусиқа,Шамол,B
Қуёш кетгач бошланади. Бу нима?,Кеча,Тонг,Кун,Тун,D
Жумбоқ: Қуёш кетгач бошланади. Нима деб ўйлайсиз?,Тун,Тонг,Кун,Кеча,A
Мантиқли савол: Қуёш кетгач бошланади. Тўғри жавобни топинг.,Тонг,Тун,Кун,Кеча,B
Топинг: Қуёш кетгач бошланади. Жавоб қайси?,Кеча,Тонг,Кун,Тун,D
Қуйидаги саволга жавоб беринг: Қуёш кетгач бошланади. Қайси жавоб тўғри?,Кеча,Тонг,Кун,Тун,D
Ўйлаб кўринг: Қуёш кетгач бошланади. Бу нима?,Кун,Кеча,Тун,Тонг,C
Тезкор савол: Қуёш кетгач бошланади. Нима деб ўйлайсиз?,Кун,Тун,Тонг,Кеча,B
Оддий савол: Қуёш кетгач бошланади. Тўғри жавобни топинг.,Тонг,Кун,Кеча,Тун,D
Эътибор билан ўқинг: Қуёш кетгач бошланади. Жавоб қайси?,Тонг,Кеча,Тун,Кун,C
Савол: Қуёш кетгач бошланади. Қайси жавоб тўғри?,Кеча,Тун,Кун,Тонг,B
"Синиши мумкин, лекин тушмайди. Бу нима?",Пешин,Кеч,Тун,Тонг,D
"Жумбоқ: Синиши мумкин, лекин тушмайди. Нима деб ўйлайсиз?",Кеч,Пешин,Тонг,Тун,C
